ImageId,WKT_Pix
901602_mask,"LINESTRING (294.0 1.0, 347.0 109.0, 423.0 184.0, 502.0 286.0, 628.0 570.2)"
901602_mask,"LINESTRING (911.0 168.0, 877.7 176.3)"
901602_mask,"LINESTRING (877.7 176.3, 800.0 188.0)"
901602_mask,"LINESTRING (877.7 176.3, 871.0 270.0, 903.0 330.0, 923.0 343.0, 932.0 357.0, 923.0 415.0, 936.0 457.0, 943.0 521.0, 931.0 568.0, 905.7 594.7)"
901602_mask,"LINESTRING (3.0 555.0, 92.0 568.0, 333.0 654.0, 443.0 685.0, 528.0 700.0, 693.0 704.8)"
901602_mask,"LINESTRING (1021.0 565.0, 942.0 595.0, 905.7 594.7)"
901602_mask,"LINESTRING (628.0 570.2, 652.0 565.0, 728.0 575.0, 785.0 587.0, 839.0 608.0, 885.0 604.0, 905.7 594.7)"
901602_mask,"LINESTRING (628.0 570.2, 688.0 678.0, 693.0 704.8)"
901602_mask,"LINESTRING (693.0 704.8, 709.0 718.0, 726.0 748.0, 784.0 926.0, 819.0 1014.0, 827.0 1022.0)"
726668_mask,"LINESTRING (2.0 2.0, 160.0 95.0, 398.0 215.0, 579.0 319.0, 795.0 478.0, 1013.0 651.0, 1023.0 667.0)"
674283_mask,"LINESTRING (2.0 498.0, 28.0 506.0, 175.2 523.0)"
674283_mask,"LINESTRING (175.2 523.0, 491.0 556.0, 1021.0 623.0)"
674283_mask,"LINESTRING (175.2 523.0, 75.0 1017.0, 70.0 1021.0)"
933886_mask,"LINESTRING (456.0 0.0, 465.3 26.7)"
933886_mask,"LINESTRING (465.3 26.7, 316.0 73.0, 305.0 85.0, 310.0 117.8)"
933886_mask,"LINESTRING (465.3 26.7, 516.0 145.0, 517.0 162.8)"
933886_mask,"LINESTRING (310.0 117.8, 229.0 138.0, 248.0 229.0, 264.2 362.0)"
933886_mask,"LINESTRING (310.0 117.8, 338.0 172.0, 337.0 191.0, 313.0 222.0, 322.0 289.0)"
933886_mask,"LINESTRING (517.0 162.8, 468.0 192.0)"
933886_mask,"LINESTRING (517.0 162.8, 525.0 167.0, 595.0 354.0, 608.7 431.7)"
933886_mask,"LINESTRING (396.0 236.0, 405.0 246.0, 403.0 258.0, 373.7 278.3)"
933886_mask,"LINESTRING (373.7 278.3, 322.0 289.0)"
933886_mask,"LINESTRING (373.7 278.3, 379.0 307.0, 394.0 326.0)"
933886_mask,"LINESTRING (322.0 289.0, 322.0 350.0, 264.2 362.0)"
933886_mask,"LINESTRING (436.0 302.0, 466.0 292.0, 501.0 396.0, 503.3 445.7)"
933886_mask,"LINESTRING (264.2 362.0, 270.3 484.3)"
933886_mask,"LINESTRING (1020.0 373.0, 1014.0 380.0, 726.0 420.0, 711.7 427.3)"
933886_mask,"LINESTRING (711.7 427.3, 608.7 431.7)"
933886_mask,"LINESTRING (711.7 427.3, 757.0 473.0, 781.0 510.0, 820.3 609.7)"
933886_mask,"LINESTRING (608.7 431.7, 503.3 445.7)"
933886_mask,"LINESTRING (503.3 445.7, 270.3 484.3)"
933886_mask,"LINESTRING (270.3 484.3, 36.0 518.0, 7.0 527.0)"
933886_mask,"LINESTRING (820.3 609.7, 783.0 682.0, 735.0 721.0, 709.0 778.0, 711.7 800.3)"
933886_mask,"LINESTRING (820.3 609.7, 851.0 648.0, 926.0 868.8)"
933886_mask,"LINESTRING (711.7 800.3, 750.0 789.0, 799.0 788.0, 802.0 825.0)"
933886_mask,"LINESTRING (711.7 800.3, 755.7 867.3)"
933886_mask,"LINESTRING (841.0 842.0, 755.7 867.3)"
933886_mask,"LINESTRING (755.7 867.3, 791.0 920.2)"
933886_mask,"LINESTRING (926.0 868.8, 880.0 886.0, 882.0 913.0)"
933886_mask,"LINESTRING (926.0 868.8, 938.7 909.7)"
933886_mask,"LINESTRING (938.7 909.7, 882.0 913.0)"
933886_mask,"LINESTRING (938.7 909.7, 965.7 1003.7)"
933886_mask,"LINESTRING (882.0 913.0, 791.0 920.2)"
933886_mask,"LINESTRING (882.0 913.0, 898.3 1018.3)"
933886_mask,"LINESTRING (791.0 920.2, 812.0 992.0, 812.0 1022.0)"
933886_mask,"LINESTRING (965.7 1003.7, 898.3 1018.3)"
933886_mask,"LINESTRING (965.7 1003.7, 975.0 1022.0)"
933886_mask,"LINESTRING (898.3 1018.3, 897.0 1021.0)"
70749_mask,"LINESTRING (1021.0 256.0, 902.0 286.0, 701.0 273.0, 643.0 288.0, 619.0 307.0, 597.0 345.0, 541.0 499.0, 527.0 523.0, 504.0 545.0, 466.0 567.0, 330.0 632.0, 103.0 873.0, 0.0 970.0)"
755970_mask,"LINESTRING (152.0 1.0, 146.0 9.0, 116.0 261.0, 95.8 316.0)"
755970_mask,"LINESTRING (4.0 299.0, 70.0 306.0, 95.8 316.0)"
755970_mask,"LINESTRING (95.8 316.0, 104.0 346.0, 101.7 440.7)"
755970_mask,"LINESTRING (101.7 440.7, 35.0 455.0, 2.0 449.0)"
755970_mask,"LINESTRING (101.7 440.7, 117.0 475.0, 154.0 508.0, 202.0 544.0, 284.0 586.0, 358.0 636.0, 394.0 701.0, 457.3 955.7)"
755970_mask,"LINESTRING (147.0 955.0, 298.0 977.0, 379.0 976.0, 457.3 955.7)"
755970_mask,"LINESTRING (457.3 955.7, 479.0 1016.0, 488.0 1023.0)"
676161_mask,"LINESTRING (354.0 0.0, 337.0 10.0, 17.0 455.0, 0.0 491.0)"
990020_mask,"LINESTRING (114.0 3.0, 93.0 275.0)"
990020_mask,"LINESTRING (1021.0 388.0, 865.3 408.3)"
990020_mask,"LINESTRING (865.3 408.3, 841.0 404.0, 671.0 409.0, 665.3 413.3)"
990020_mask,"LINESTRING (865.3 408.3, 864.7 428.7)"
990020_mask,"LINESTRING (665.3 413.3, 641.0 416.0, 628.0 435.0, 614.0 617.5)"
990020_mask,"LINESTRING (665.3 413.3, 643.0 438.0, 628.8 620.8)"
990020_mask,"LINESTRING (864.7 428.7, 857.0 444.0, 840.0 634.0)"
990020_mask,"LINESTRING (864.7 428.7, 870.0 434.0, 871.0 481.0, 858.0 635.8)"
990020_mask,"LINESTRING (1.0 579.0, 584.0 622.0, 614.0 617.5)"
990020_mask,"LINESTRING (614.0 617.5, 628.8 620.8)"
990020_mask,"LINESTRING (614.0 617.5, 600.0 854.0, 606.0 872.5)"
990020_mask,"LINESTRING (628.8 620.8, 840.0 634.0)"
990020_mask,"LINESTRING (628.8 620.8, 628.3 640.7)"
990020_mask,"LINESTRING (840.0 634.0, 847.0 642.0)"
990020_mask,"LINESTRING (858.0 635.8, 850.7 642.3)"
990020_mask,"LINESTRING (858.0 635.8, 1020.0 644.0)"
990020_mask,"LINESTRING (628.3 640.7, 615.0 857.0, 606.0 872.5)"
990020_mask,"LINESTRING (628.3 640.7, 701.0 639.0, 839.7 649.3)"
990020_mask,"LINESTRING (847.0 642.0, 850.7 642.3)"
990020_mask,"LINESTRING (847.0 642.0, 839.7 649.3)"
990020_mask,"LINESTRING (850.7 642.3, 856.3 651.7)"
990020_mask,"LINESTRING (839.7 649.3, 812.0 1019.0)"
990020_mask,"LINESTRING (856.3 651.7, 826.0 1019.0)"
990020_mask,"LINESTRING (856.3 651.7, 1019.0 662.0)"
